"","baseMean ","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-5p",8.03111642290045,-0.761760359141177,0.339522599928366,-2.24362195418478,0.0248567354814957,0.298280825777948
"hsa-let-7b-5p",41.7631807395857,-0.257869802786784,0.21954803642322,-1.17454843590444,0.240175423124757,0.579272045621729
"hsa-let-7i-5p",4.36600440643598,-0.276243936051638,0.328529453964233,-0.840849831630965,0.400432066535029,0.722822658020394
"hsa-miR-122-5p",14.2372891314149,-0.456760418724339,0.389865070346857,-1.17158589846986,0.241363352342387,0.579272045621729
"hsa-miR-16-5p",183.879048698094,-0.112974572146078,0.145723698709618,-0.775265609825078,0.438182726169342,0.722822658020394
"hsa-miR-21-5p",3.02611087244076,-0.561998369618772,0.39450184286723,-1.42457729863613,0.154279426059298,0.579272045621729
"hsa-miR-25-3p",3.17511950629919,-0.16148025485978,0.373827433307087,-0.431964699410194,0.665767069846222,0.722822658020394
"hsa-miR-30d-5p",1.22388403758352,0.173516583380599,0.489207802067493,0.354688912661003,0.722822658020394,0.722822658020394
"hsa-miR-423-5p",4.09924233868986,-0.564552197058204,0.45802028765749,-1.23259211932634,0.217727978602338,0.579272045621729
"hsa-miR-451a",2.65241579481837,-0.258220700895291,0.485681755935011,-0.531666462122254,0.594957024167425,0.722822658020394
"hsa-miR-486-5p",149.388227565901,0.0735995679872687,0.142292205991495,0.517242441175366,0.60498692851308,0.722822658020394
"hsa-miR-92a-3p",13.6777777150038,-0.156960051028079,0.38076853454951,-0.41221906955568,0.680178861127839,0.722822658020394
